Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
So Caught Up,the teskey brothers,2019,08,0.744,0.693,4,-6.563,0,0.0261,0.293,0.00056,0.305,0.896,99.048,103540,64,0
Bloodline,northlane,2019,08,0.514,0.964,6,-6.78,1,0.0992,8.3e-05,0.196,0.137,0.404,97.492,172164,60,0
Feelings,lauv,2019,09,0.694,0.466,9,-6.758,1,0.0384,0.0934,0,0.098,0.246,103.018,1894497,90,1
Lo Que Siento,cuco,2017,05,0.326,0.685,10,-5.576,1,0.179,0.503,0,0.427,0.409,86.882,804647,77,0
La Di Da,lennon stella,2018,11,0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,141860,82,0
Feathered Indians,tyler childers,2017,08,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,278014,74,0
Turnin' Me Up,bj the chicago kid,2016,02,0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542,257387,70,0
Scars,i am they,2018,03,0.417,0.524,10,-6.6,1,0.0326,0.048,0,0.103,0.152,75.266,87281,58,0
Shooting Stars,bag raiders,2011,01,0.634,0.711,11,-6.187,1,0.0457,0.0933,0.0309,0.0823,0.451,124.962,164518,61,0
Ye,burna boy,2018,01,0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,248088,81,0
Imported (with 6LACK),jessie reyez,2019,04,0.726,0.636,7,-3.615,1,0.0496,0.199,0,0.111,0.362,111.097,521569,80,0
Sue Me,sabrina carpenter,2018,11,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,2439402,78,0
Beg for Life,tomb mold,2019,07,0.295,0.93,0,-6.027,1,0.0821,0.00862,0.83,0.355,0.0761,126.531,13742,35,0
Joro,wizkid,2019,09,0.686,0.694,7,-3.693,0,0.257,0.253,0.000904,0.109,0.587,189.998,310250,79,0
Dot in the Sky,drab majesty,2017,01,0.517,0.946,8,-5.787,1,0.0332,0.0379,0.0154,0.261,0.483,114.984,48004,50,0
All My Happiness is Gone,purple mountains,2019,07,0.505,0.746,7,-7.793,1,0.0271,0.00165,0.0463,0.266,0.724,138.126,18069,50,0
Have You Ever Seen the Rain,paula nelson,2010,07,0.506,0.26,9,-11.831,1,0.0284,0.58,0.0241,0.103,0.188,101.121,932,48,0
Someone You Loved,lewis capaldi,2019,05,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,1545726,89,1
Ransom,lil tecca,2019,08,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,1078880,89,1
Die Tonight,adam calhoun,2018,03,0.859,0.675,1,-6.683,1,0.142,0.038,0,0.105,0.183,99.941,95158,61,0
Admission,torche,2019,07,0.397,0.824,6,-4.647,0,0.0437,1.39e-06,0.736,0.409,0.252,119.965,37574,43,0
O Sleeper,"oh, sleeper",2018,02,0.476,0.186,7,-15.882,1,0.0337,0.401,8.68e-06,0.0836,0.0814,127.974,69715,45,0
White Gloves,khruangbin,2015,11,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,413896,69,0
Blood In The Cut,k.flay,2017,04,0.77,0.655,2,-5.369,1,0.0316,0.118,0.0234,0.125,0.639,129.964,282512,69,0
Sweet Chaos,day6,2019,10,0.335,0.937,11,-1.895,0,0.0737,0.00502,0,0.51,0.529,199.692,965346,73,0
Because I'm Awesome,the dollyrots,2007,03,0.584,0.849,0,-2.969,1,0.0284,1.76e-05,0.194,0.791,0.615,140.004,14323,38,0
Speechless (Full),naomi scott,2019,05,0.474,0.489,6,-7.625,0,0.0342,0.467,0,0.119,0.23,124.844,117916,71,0
Harvest Pyre,abbath,2019,07,0.287,0.962,6,-4.235,1,0.0605,3.7e-06,0.887,0.34,0.255,173.094,52398,41,0
Down To The River,the allman betts band,2019,06,0.787,0.532,7,-9.496,0,0.0261,0.487,0.00194,0.0953,0.789,98.384,3535,34,0
PUMPED UP KICKS,3teeth,2019,06,0.464,0.92,10,-5.673,0,0.0432,0.00143,0.114,0.343,0.266,91.04,29758,49,0
Premonition (feat. Earthgang & Cam O’bi),lute,2017,09,0.605,0.441,1,-7.85,1,0.458,0.698,0,0.0801,0.695,82.119,39794,67,0
Dispatch (feat. DaBaby),young nudy,2019,08,0.602,0.395,1,-8.752,0,0.289,0.127,0,0.109,0.335,81.468,291967,72,0
Evergreen,yebba,2017,10,0.618,0.321,2,-7.396,1,0.0543,0.456,0.000659,0.052,0.541,72.954,80669,72,0
Lucha Bros,westside gunn,2019,11,0.45,0.629,2,-7.814,1,0.171,0.452,0.002,0.36,0.464,78.439,45764,60,0
This Will Be the Day (feat. Casey Lee Williams),jeff williams,2013,12,0.419,0.933,2,-4.91,0,0.215,0.0033,0.000102,0.297,0.453,94.432,68701,64,0
Krigsgaldr,heilung,2018,01,0.624,0.597,0,-10.542,1,0.049,0.0992,0.778,0.108,0.084,119.964,119599,55,0
El Viajero,mariachi herencia de mexico,2018,05,0.468,0.595,0,-4.977,1,0.0319,0.283,0,0.0757,0.618,88.826,1111,21,0
Friends,chase atlantic,2015,02,0.422,0.609,11,-6.361,0,0.0335,0.0114,4.76e-06,0.108,0.0911,107.34,348928,70,0
Find Yourself,lukas nelson & promise of the real,2014,11,0.784,0.384,8,-9.295,1,0.0536,0.271,0.00193,0.0687,0.837,133.149,52245,54,0
Symphony,switch,2019,02,0.688,0.691,8,-6.3,1,0.0439,0.217,0,0.104,0.618,120.083,6329,50,0
Cold Little Heart - Radio Edit,michael kiwanuka,2017,02,0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,647193,75,0
Out Loud,scarypoolparty,2018,09,0.52,0.594,1,-7.255,1,0.0353,0.756,0.0223,0.267,0.422,98.479,62999,48,0
The Git Up,blanco brown,2019,10,0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984,59335,72,1
"February 28, 2016",koe wetzel,2017,03,0.507,0.564,7,-6.652,1,0.0291,0.0758,0,0.413,0.328,82.493,79702,66,0
Purgatorium,awake at last,2017,05,0.369,0.891,7,-7.286,0,0.138,9.37e-05,0.000366,0.203,0.113,145.072,8487,41,0
Colors,black pumas,2019,06,0.391,0.692,1,-6.543,0,0.0462,0.0946,1.58e-05,0.191,0.56,180.008,52803,58,0
A More Perfect Union,titus andronicus,2010,03,0.154,0.848,0,-5.093,1,0.0507,0.142,0.00102,0.395,0.241,175.848,44994,43,0
EX,kiana lede,2018,07,0.763,0.537,9,-7.018,0,0.246,0.231,0,0.109,0.426,73.51,366826,72,0
18 Wheeler (feat. Pusha T),benny the butcher,2019,06,0.512,0.733,2,-7.8,0,0.244,0.00203,0.000253,0.349,0.739,75.356,33248,60,0
Mr. Invisible,thank you scientist,2016,07,0.492,0.921,1,-2.99,1,0.0806,0.0106,0.00113,0.0676,0.545,123.521,64092,50,0
Sure,hatchie,2018,02,0.389,0.79,2,-5.691,1,0.035,0.000957,0.0018,0.397,0.371,94.896,26821,48,0
Four Loko,lil phag,2018,07,0.767,0.784,9,-3.058,1,0.127,0.278,0,0.121,0.335,159.933,48129,50,0
Drunk II,mannequin pussy,2019,06,0.473,0.958,7,-3.67,1,0.0372,4.11e-05,0.425,0.0793,0.47,136.022,23716,47,0
Nayhoo,chon,2017,06,0.812,0.567,1,-7.119,0,0.083,0.539,0,0.11,0.616,124.945,188195,58,0
False Confidence,noah kahan,2019,06,0.414,0.663,6,-7.77,1,0.0456,0.163,0,0.138,0.33,108.98,162534,75,0
Build My Life,pat barrett,2018,07,0.431,0.591,8,-6.198,1,0.0298,0.112,0,0.129,0.274,144.012,22542,61,0
California (Cast Iron Soul),jamestown revival,2014,09,0.455,0.798,9,-5.379,1,0.0389,0.153,0,0.0911,0.459,161.813,54567,55,0
Fever,gfriend,2019,07,0.764,0.836,1,-2.868,1,0.0396,0.208,0,0.234,0.51,111.934,706784,66,0
ABG,quando rondo,2018,05,0.722,0.81,5,-3.395,1,0.373,0.482,0,0.0954,0.937,176.108,655096,73,0
Church (Take Me Back),cochren & co.,2018,11,0.574,0.688,11,-6.027,1,0.0396,0.192,0,0.185,0.461,90.071,3140,51,0
You,nicole bus,2018,12,0.319,0.768,11,-4.708,0,0.0722,0.0613,0,0.0904,0.367,176.448,14243,50,0
Butterflies,gabbie hanna,2019,05,0.707,0.355,5,-8.055,0,0.0669,0.241,0,0.112,0.289,77.494,301912,62,0
Mr. Clean,yung gravy,2018,05,0.758,0.701,9,-6.053,1,0.162,0.685,6.22e-06,0.114,0.626,106.74,623120,79,0
Honeybody,kishi bashi,2016,09,0.393,0.408,5,-9.779,1,0.0393,0.776,0.156,0.113,0.508,75.222,128028,59,0
Angus McFife,gloryhammer,2013,04,0.495,0.961,0,-3.599,1,0.0356,0.000229,3.97e-06,0.338,0.659,90.015,87209,58,0
Joyriding,frank iero,2014,08,0.49,0.837,6,-5.683,1,0.0658,0.000107,0.00326,0.0746,0.421,90.0,142643,50,0
Do You Love Her Now,jai paul,2019,06,0.71,0.336,2,-11.001,1,0.0462,0.542,0.0204,0.114,0.34,80.002,109624,57,0
Tangerine Honey,frankie moreno,2012,09,0.622,0.758,0,-3.936,1,0.0628,0.0102,0,0.974,0.497,88.354,501,14,0
Yer Killin' Me,remo drive,2017,03,0.396,0.718,0,-6.794,0,0.0814,0.00217,0.00077,0.332,0.366,165.272,67779,55,0
Letter to Madeline,ian noe,2019,05,0.615,0.472,5,-8.638,0,0.0312,0.125,0,0.115,0.46,107.217,11862,50,0
Distance (feat. Issa Gold & Erick The Architect),beast coast,2019,05,0.784,0.606,2,-7.726,1,0.125,0.003,0,0.101,0.267,118.965,58839,63,0
Pop Out (feat. Lil Tjay),polo g,2019,06,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,560607,81,0
Money Man Perry,money man,2019,05,0.815,0.645,5,-8.352,0,0.18,0.0498,0,0.135,0.481,127.997,146096,66,0
You,jacquees,2018,09,0.735,0.453,8,-8.264,0,0.0602,0.413,0,0.104,0.335,115.002,1391365,78,1
Medicine,queen naija,2018,06,0.741,0.37,8,-8.437,0,0.324,0.24,0,0.118,0.13,116.06,1163733,70,1
Come Around,collie buddz,2007,07,0.497,0.786,1,-6.05,0,0.322,0.0144,0,0.638,0.736,152.982,253331,64,0
Wait For You - The Voice Performance,maelyn jarmon,2019,05,0.536,0.642,4,-6.53,1,0.0362,0.552,2.4e-05,0.157,0.367,154.848,2554,32,0
Hurricane,laine hardy,2018,05,0.707,0.539,7,-6.203,1,0.0282,0.13,0,0.0956,0.421,128.011,33087,46,0
Beasto Blanco,beasto blanco,2013,10,0.475,0.984,10,-2.99,0,0.062,2.81e-05,0.639,0.056,0.497,148.002,4271,28,0
Got You,amyl and the sniffers,2019,05,0.659,0.76,1,-4.26,1,0.0596,0.00231,0.0141,0.0826,0.647,94.087,30598,48,0
Low Key (feat. Tyga),ally brooke,2019,01,0.79,0.546,6,-5.553,0,0.0383,0.369,2.55e-06,0.128,0.748,109.014,254593,64,0
Are You With Me Now?,cate le bon,2013,11,0.608,0.636,0,-7.712,1,0.0258,0.00317,0.0195,0.127,0.708,141.628,47389,53,0
Candlelight,zhavia ward,2018,07,0.511,0.542,2,-7.398,1,0.336,0.387,0,0.181,0.439,134.907,352072,72,0
Body Language,gyth rigdon,2016,04,0.529,0.621,9,-4.494,0,0.0309,0.186,1.03e-06,0.106,0.44,142.077,4376,35,0
BOOM,nct 127,2019,07,0.914,0.516,5,-4.178,0,0.0918,0.131,0,0.0441,0.702,119.969,1858004,73,0
Rural Route Raising - The Voice Performance,andrew sevener,2019,05,0.353,0.739,6,-4.842,1,0.035,0.0151,0,0.239,0.454,171.989,1259,23,0
Been Here Before,"christone ""kingfish"" ingram",2019,05,0.675,0.344,9,-9.056,1,0.0301,0.708,4.91e-06,0.105,0.237,123.211,33399,45,0
Here Without You - The Voice Performance,dexter roberts,2019,05,0.452,0.532,10,-5.112,0,0.0278,0.461,0,0.146,0.46,143.996,1778,20,0
Burning Myrrh,full of hell,2019,05,0.192,0.885,5,-5.918,0,0.124,1.31e-05,0.00113,0.261,0.0595,114.391,33647,41,0
Not Losing You,maddie poppe,2019,05,0.424,0.289,0,-5.092,1,0.0328,0.847,0,0.329,0.325,139.445,36395,51,0
The Show Must Go on Prt. 1,famous last words,2013,04,0.431,0.867,5,-3.771,0,0.0475,0.00133,4.77e-05,0.522,0.31,135.087,78813,48,0
Dip (#thewoah),tisakorean,2018,10,0.833,0.419,8,-8.927,1,0.63,0.0813,0,0.191,0.489,133.12,11924,62,0
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),megan thee stallion,2019,08,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,505715,81,1
Better - Remix,titus showers,2019,05,0.379,0.715,10,-3.531,1,0.0745,0.0161,0,0.151,0.279,145.607,108,25,0
Our Apartment,aaron west and the roaring twenties,2014,07,0.454,0.66,7,-6.028,1,0.0406,0.646,0,0.188,0.314,140.715,26716,45,0
I Don't Mind,defeater,2011,01,0.782,0.329,10,-10.347,1,0.0368,0.231,5.94e-06,0.107,0.434,91.523,81491,45,0
Peace Sign,natewantstobattle,2017,05,0.465,0.962,5,-3.483,0,0.0987,0.00215,0,0.286,0.795,200.056,239116,67,0
Capacity,charly bliss,2019,05,0.64,0.643,1,-5.836,0,0.0277,0.000857,6.37e-06,0.129,0.699,110.009,32224,49,0
Wanderlust,arch / matheos,2019,04,0.479,0.931,1,-4.887,0,0.0831,0.00263,0,0.156,0.408,93.487,3359,26,0
LSD (feat. Chance The Rapper),jamila woods,2017,08,0.828,0.668,0,-8.248,1,0.196,0.645,0,0.165,0.598,129.981,106376,58,0
City Music,kevin morby,2017,06,0.509,0.469,7,-7.103,1,0.0336,0.242,0.151,0.11,0.62,122.441,138235,61,0
Ants,tank and the bangas,2019,03,0.445,0.612,5,-7.623,0,0.21,0.474,7e-05,0.125,0.41,171.444,112498,48,0
Te Quemaste,manuel turizo,2019,08,0.729,0.773,0,-2.486,1,0.131,0.611,0.00106,0.287,0.718,176.053,4662854,87,0
Undrunk,fletcher,2019,08,0.613,0.579,5,-6.484,1,0.0833,0.489,0,0.126,0.551,91.863,148128,71,1
Backin' It Up (feat. Cardi B),pardison fontaine,2018,09,0.796,0.68,10,-4.853,0,0.353,0.0886,0,0.268,0.565,164.932,129630,61,0
7,catfish and the bottlemen,2016,05,0.531,0.711,10,-4.933,1,0.0398,0.000204,0.00291,0.108,0.279,155.068,743957,72,0
Peach,kevin abstract,2019,04,0.646,0.681,7,-5.847,1,0.0764,0.683,4.84e-06,0.107,0.421,131.896,346590,68,0
Punk Rock Saved My Life,cokie the clown,2019,04,0.488,0.445,6,-8.328,0,0.0524,0.154,0,0.138,0.26,89.436,4583,28,0
Come For Me,new years day,2019,04,0.403,0.96,4,-2.708,0,0.0996,4.99e-05,0.0268,0.155,0.541,184.266,179557,54,0
"Hey, Are You Listening?",starflyer 59,2019,04,0.747,0.8,6,-5.231,0,0.0299,0.104,0.462,0.0968,0.861,109.026,11097,34,0
Frost (C),sunn 0))),2019,10,0.0755,0.0167,5,-11.802,1,0.0477,0.162,0.671,0.118,0.0334,75.151,79244,43,0
Catch Me I’m Falling,kelly finnigan,2018,09,0.318,0.371,11,-7.862,0,0.0306,0.645,1.97e-06,0.157,0.262,91.998,4153,39,0
Lottery,jade bird,2019,04,0.609,0.584,2,-4.38,1,0.0359,0.0861,0,0.102,0.622,105.026,94706,61,0
1.618,allegaeon,2014,06,0.468,0.984,6,-3.763,0,0.12,7.63e-05,0.000806,0.196,0.356,133.964,41114,43,0
Let You Love Me,rita ora,2018,09,0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,5063108,83,0
Upgrades,secret band,2019,04,0.311,0.994,11,-3.449,0,0.22,0.000283,0.813,0.394,0.0605,113.202,17675,40,0
Celengan Rindu,fiersa besari,2014,05,0.636,0.536,9,-7.646,1,0.0432,0.105,0,0.135,0.661,116.878,866919,72,0
Ballin' (with Roddy Ricch),mustard,2019,06,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,498372,83,0
Runaway,sebastian yatra,2019,06,0.756,0.851,2,-3.33,1,0.0674,0.0336,0,0.126,0.934,75.014,9288009,88,0
T.I.B.W.F.,the budos band,2005,11,0.674,0.607,1,-7.76,1,0.057,0.0124,0.87,0.147,0.712,77.845,92027,51,0
Hate the Way You Love Me,john paul white,2016,08,0.45,0.206,4,-13.414,1,0.0298,0.695,0,0.119,0.248,75.932,23754,51,0
Truth Hurts,lizzo,2019,05,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,1488950,88,1
For the Dancing and the Dreaming,peter hollens,2017,06,0.306,0.307,9,-9.314,1,0.0374,0.876,0,0.114,0.267,96.374,226857,62,0
Let the Redeemed,josh baldwin,2019,07,0.461,0.848,9,-4.947,1,0.035,0.11,1.37e-05,0.22,0.726,159.974,22049,57,0
Hurricane,the band of heathens,2016,01,0.362,0.421,7,-8.824,1,0.0437,0.39,0,0.0971,0.356,64.763,49197,54,0
Your Dog,soccer mommy,2018,03,0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,95903,57,0
Kids,pup,2019,04,0.492,0.964,8,-3.475,1,0.0729,0.00046,0.00582,0.434,0.703,157.036,128977,60,0
One Night Standards,ashley mcbryde,2019,08,0.54,0.694,5,-4.456,1,0.0296,0.0241,0.0092,0.0971,0.613,78.017,45262,57,0
Andromeda,weyes blood,2019,04,0.463,0.462,1,-7.94,0,0.0272,0.367,0.0012,0.356,0.189,131.273,81531,61,0
Ass Like That,victoria monet,2019,10,0.664,0.691,7,-8.451,1,0.194,0.0888,0.000592,0.174,0.637,80.001,101925,67,0
The Failsafe Fallacy,enterprise earth,2019,04,0.505,0.982,10,-6.031,1,0.0902,1.69e-05,0.526,0.146,0.0726,107.996,35689,42,0
Paid In Full,safe,2019,04,0.752,0.64,10,-4.758,1,0.293,0.393,0,0.175,0.647,152.946,139693,63,0
The High Road,molly tuttle,2019,04,0.635,0.371,10,-7.915,1,0.0297,0.662,2.04e-05,0.114,0.312,97.768,16030,51,0
No L's,hit-boy,2019,07,0.868,0.583,9,-4.167,1,0.25,0.115,3.03e-06,0.0634,0.436,160.013,16257,70,0
U Say (feat. 6LACK),the bonfyre,2019,07,0.625,0.561,5,-6.653,0,0.0644,0.019,0,0.31,0.243,126.088,8518,56,0
Kill This Love,blackpink,2019,04,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,9567585,82,1
Lost Without You,freya ridings,2019,07,0.386,0.136,6,-9.267,1,0.0458,0.932,0,0.0653,0.0976,67.016,162295,74,0
All Night,astro,2019,01,0.573,0.77,11,-4.622,0,0.186,0.234,0,0.11,0.576,150.065,751150,61,0
Are You Bored Yet? (feat. Clairo),wallows,2019,03,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,469055,74,0
100 Bad Days,ajr,2019,04,0.626,0.639,10,-5.62,1,0.085,0.0465,0,0.161,0.638,144.009,1015472,79,1
gogobebe,mamamoo,2019,03,0.704,0.787,0,-3.114,1,0.082,0.114,0,0.228,0.707,96.929,1269672,72,0
Such Small Hands,la dispute,2018,11,0.648,0.732,5,-5.194,1,0.0821,0.225,0.00132,0.0682,0.324,159.882,221413,55,0
Tough Enough,ex hex,2019,03,0.608,0.838,9,-5.101,1,0.0383,0.0222,0.000167,0.134,0.865,139.991,23797,35,0
The End Of Love,the end machine,2018,06,0.254,0.0877,6,-9.996,1,0.0382,0.805,2.9e-05,0.137,0.0907,68.991,1938,18,0
Back Water Blues,ally venable,2018,04,0.586,0.61,7,-8.808,1,0.0457,0.0366,0.00989,0.255,0.805,119.954,583,20,0
Au DD,pnl,2019,04,0.777,0.698,6,-7.706,0,0.0704,0.293,2.32e-05,0.0908,0.119,119.963,2441440,79,0
Weird Ways,strand of oaks,2019,03,0.263,0.503,6,-6.948,0,0.0386,0.0148,0.0171,0.11,0.255,112.019,33710,44,0
Big Homie,peezy,2019,08,0.812,0.569,5,-8.228,1,0.111,0.229,0,0.0823,0.336,110.146,183488,58,0
Panini,lil nas x,2019,06,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,1683926,87,1
Whiskey Glasses,morgan wallen,2018,04,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,301918,79,1
Corner Painter,tal wilkenfeld,2019,03,0.256,0.499,11,-11.432,1,0.0487,0.214,0.11,0.082,0.202,169.695,33816,35,0
Body,loud luxury,2017,10,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,205983,77,0
Stfu,42 dugg,2018,06,0.735,0.829,0,-4.244,1,0.263,0.141,0,0.212,0.545,98.974,14353,49,0
"Blood And Rockets: Movement I, Saga Of Jack Parsons - Movement II, Too The Moon",claypool lennon delirium,2019,02,0.529,0.626,0,-4.487,0,0.0262,0.0342,0.503,0.0964,0.326,81.985,72349,48,0
Why God,austin french,2018,09,0.436,0.405,0,-6.275,1,0.0289,0.374,0,0.0941,0.312,153.994,24394,53,0
Dylan Thomas,better oblivion community center,2019,01,0.592,0.805,2,-7.995,1,0.0371,0.000128,0.000211,0.0916,0.505,116.072,41948,55,0
HUMBLE.,our last night,2017,08,0.539,0.903,2,-6.038,1,0.0389,9.81e-05,0.176,0.149,0.445,150.028,523646,69,0
Make It Right,the coathangers,2016,04,0.437,0.806,8,-6.372,1,0.0303,2.78e-05,9.34e-05,0.298,0.588,92.047,36216,38,0
Aquatic,sigrid,2019,10,0.26,0.0166,0,-22.356,0,0.052,0.98,0.846,0.115,0.199,179.921,412021,70,0
Rise Up,andra day,2015,08,0.398,0.316,1,-7.031,1,0.0368,0.805,0,0.295,0.174,118.582,253527,63,0
Blood of Heroes,tyr,2013,09,0.548,0.918,4,-5.73,0,0.0545,3.53e-05,0.0286,0.0797,0.28,107.977,124906,53,0
Is It Any Wonder?,durand jones & the indications,2018,03,0.541,0.378,2,-6.283,0,0.0296,0.636,0.594,0.0899,0.401,136.94,68957,56,0
New Salem,misery index,2019,03,0.329,0.933,1,-4.336,1,0.0552,3.47e-06,4.09e-06,0.059,0.261,104.676,31795,38,0
Wanna go back,park bom,2019,10,0.366,0.671,7,-4.823,0,0.0508,0.0255,1.73e-05,0.314,0.191,143.365,48874,54,0
